fg_id,fg_name,role,fg_last,fg_first,bbm_id,bbm_last,bbm_first,yh_id,yh_last,yh_first,yh_team,yh_pos,howe_id,cbs_id,bam_id
6580,Waldis Joaquin,pit,Joaquin,Waldis,,,,,,,,,,,471183
6582,Nate Freiman,bat,Freiman,Nate,7766,Freiman,Nathan,9352,Freiman,Nate,,1B,FREIMAN19861231A,1740932,474384
6589,Sean Rodriguez,bat,Rodriguez,Sean,4255,Rodriguez,Sean,8224,Rodriguez,Sean,TB,1B/2B/3B/SS/OF,RODRIGUEZ19850426A,490329,446481
6592,Brandon Wood,bat,Wood,Brandon,,,,,,,,,,,457420
6596,Ryan Jackson,bat,Jackson,Ryan,6758,Jackson,Ryan,9264,Jackson,Ryan,STL,2B/SS,JACKSON19880510A,1804463,474249
6601,Luke Montz,bat,Montz,Luke,3366,Montz,Luke,8372,Montz,Luke,,C,MONTZ19830707A,1639015,452215
6603,Daryl Thompson,pit,Thompson,Daryl,,,,,,,,,,,444354
6605,Pat McCoy,pit,McCoy,Pat,,,,9743,McCoy,Patrick,,RP,MCCOY19880803A,2038849,519003
6609,Freddy Galvis,bat,Galvis,Freddy,6373,Galvis,Freddy,9132,Galvis,Freddy,PHI,SS,GALVIS19891114A,1603347,520471
6612,Marc Rzepczynski,pit,Rzepczynski,Marc,5813,Rzepczynski,Marc,8523,Rzepczynski,Marc,STL,RP,RZEPCZYNS19850829A,1674412,519240
6616,Pedro Figueroa,pit,Figueroa,Pedro,5967,Figueroa,Pedro,9159,Figueroa,Pedro,OAK,RP,,1725469,471896
6620,Cory Burns,pit,Burns,Cory,7676,Burns,Cory,9256,Burns,Cory,TEX,RP,BURNS19871009A,1946292,451132
6623,Ryan Lollis,bat,Lollis,Ryan,,,,10019,Lollis,Ryan,,OF,LOLLIS19861216A,1954882,489067
6627,Brad Brach,pit,Brach,Brad,6530,Brach,Brad,9040,Brach,Brad,SD,RP,BRACH19860412A,1793607,542960
6632,Carlos Carrasco,pit,Carrasco,Carlos,5535,Carrasco,Carlos,8185,Carrasco,Carlos,CLE,SP,CARRASCO19870321A,1231629,471911
6635,Kevin Mattison,bat,Mattison,Kevin,6058,Mattison,Kevin,9178,Mattison,Kevin,MIA,OF,MATTISON19850920A,1740966,543503
6640,Jhonny Nunez,pit,Nunez,Jhonny,,,,,,,,,,,471919
6652,Chase d'Arnaud,bat,d'Arnaud,Chase,6061,D'Arnaud,Chase,8974,d'Arnaud,Chase,PIT,2B/3B/SS/OF,DARNAUD19870121A,1740922,488818
6653,Jim Henderson,pit,Henderson,Jim,6618,Henderson,Jim,9248,Henderson,Jim,MIL,RP,HENDERSON19821021A,1803887,449104
6655,Craig Kimbrel,pit,Kimbrel,Craig,6043,Kimbrel,Craig,8622,Kimbrel,Craig,ATL,RP,KIMBREL19880528A,1718083,518886
6656,L.J. Hoes,bat,Hoes,L.J.,7691,Hoes,L.J.,9307,Hoes,L.J.,BAL,OF,HOES19900305A,1910547,543321
6661,Alex Colome,pit,Colome,Alex,7651,Colome,Alexander,9413,Colome,Alex,,SP/RP,COLOME19881231A,1739607,517008
6677,J.B. Shuck,bat,Shuck,J.B.,6611,Shuck,J.B.,9009,Shuck,J.B.,,OF,SHUCK19870618A,1741006,543776
6688,Francisco Rodriguez,pit,Rodriguez,Francisco,,,,,,,,,,1661458,477557
6697,Miguel Socolovich,pit,Socolovich,Miguel,,,,9238,Socolovich,Miguel,,RP,SOCOLOVIC19860724A,1795984,462515
6732,Zoilo Almonte,bat,Almonte,Zoilo,7023,Almonte,Zoilo,9436,Almonte,Zoilo,,OF,ALMONTE19890610A,1812890,501660
6736,Luke Putkonen,pit,Putkonen,Luke,7806,Putkonen,Luke,9167,Putkonen,Luke,DET,RP,PUTKONEN19860510A,1954843,446367
6740,Johnny Giavotella,bat,Giavotella,Johnny,6479,Giavotella,Johnny,9010,Giavotella,Johnny,KC,2B,GIAVOTELL19870710A,1793166,543213
6741,Cesar Cabral,pit,Cabral,Cesar,6412,Cabral,Cesar,9138,Cabral,Cesar,NYY,RP,CABRAL19890211A,1787654,501627
6745,Anthony Ortega,pit,Ortega,Anthony,,,,,,,,,,,471162
6746,Josh Prince,bat,Prince,Josh,6071,Prince,Josh,9362,Prince,Josh,,OF,PRINCE19880126A,1740993,572389
6748,Travis Tartamella,bat,Tartamella,Travis,,,,10094,Tartamella,Travis,,C,TARTAMELL19871217A,2114450,502023
